OrderID,Item,Category,Quantity,BillAmount
1,Margherita Pizza,Pizza,1,249
2,Paneer Tikka,Starter,2,340
3,Chicken Biryani,Main Course,1,299
4,Cold Coffee,Beverage,1,120
5,French Fries,Starter,1,99
6,Masala Dosa,Main Course,1,150
7,Cheese Burger,Burger,2,260
8,Choco Lava Cake,Dessert,1,130
9,Butter Chicken,Main Course,1,350
10,Garlic Bread,Starter,1,149
11,Pepsi,Beverage,2,70
12,Veg Fried Rice,Main Course,1,180
13,Chicken Momos,Starter,1,160
14,Ice Cream Sundae,Dessert,1,140
15,Chicken Wrap,Snacks,1,170
16,Mango Smoothie,Beverage,1,150
17,Pasta Alfredo,Main Course,1,260
18,Chicken Pizza,Pizza,1,320
19,Caesar Salad,Salad,1,200
20,Hot Chocolate,Beverage,1,140
21,Paneer Biryani,Main Course,1,270
22,Peri Peri Fries,Starter,1,120
23,BBQ Chicken Wings,Starter,1,250
24,Brownie with Ice Cream,Dessert,1,180
25,Club Sandwich,Snacks,1,190
26,Veggie Burger,Burger,1,130
27,Lemonade,Beverage,1,80
28,Paneer Butter Masala,Main Course,1,310
29,Tandoori Roti,Main Course,3,45
30,Cheese Sandwich,Snacks,1,160
